"sample_id","source_record_id","ein","name","bucket","ntee","metadata_signal_score","selection_hash","exact_contract_matches","contract_ids","contract_scope","local_relevance","plausible_intervention","decision","reason","primary_url","primary_checked","primary_finding","review_status","population","dose","cost_anchor","utility_bridge","funding_room_usd","priority_rank"
"40","irs:271584676","271584676","TANDEM PARTNERS IN EARLY LEARNING","youth","B92","1","0460394a4cb458627364443f6e55e5b3d3c594c934ce32c7538f364580edb6b6","1","1000036776","CFC Literacy Library","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Early-learning support: test defined family intervention rather than literacy-to-QALY shortcut.","priority-for-identity-and-program-check","Early-learning support: test defined family intervention rather than literacy-to-QALY shortcut. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"41","irs:943228199","943228199","SAN FRANCISCO BICYCLE COALITION","environment","C010","2","034377600010b47d043c04fddf8a09dcb02555b5e0b6fe0210ec34aead70f68b","1","1000038741","ENV-Bike Fix-it Clinics 23-27","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Cycling safety: infrastructure/training injury pathway, not advocacy counts.","priority-for-identity-and-program-check","Cycling safety: infrastructure/training injury pathway, not advocacy counts. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"42","irs:611947643","611947643","DOWNTOWN COMMUNITY BENEFIT DISTRICT","environment","C12","2","afbc5c7099371b6f37103dbbf1c570cd0e9c238a0c717e01ec1df3c2e0d2b8e8","2","1000027805|1000037870","ECN Downtown SF Recovery | ECN DT Economic Development","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Business district: maintenance/safety contract not automatically health improvement.","priority-for-identity-and-program-check","Business district: maintenance/safety contract not automatically health improvement. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"43","irs:474687196","474687196","THE EAST CUT COMMUNITY BENEFIT DISTRICT","environment","C50","2","de56622b66d5fb6d47a09adf184e77ef19a247bb887320a39369c8a703b28307","1","1000032467","ECN CBD Activation and Steward","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","District services: test specific exposure or injury reduction.","priority-for-identity-and-program-check","District services: test specific exposure or injury reduction. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"44","irs:262758520","262758520","SNOWSPORT SAFETY FOUNDATION","environment","M40","1","0904271d51bafe169ff962b8cecb091efb06ded3b95fc2619a36f7d9aee7706f","0","","","SF IRS filing address only; actual Bay delivery unknown","Snow-sport injury prevention hypothesis; SF beneficiary share unclear.","priority-for-identity-and-program-check","Snow-sport injury prevention hypothesis; SF beneficiary share unclear. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"45","irs:943221558","943221558","SAN FRANCISCO GREEN COMMUNITY","environment","C60","1","0b35bef112e60eb71607ee92cf91431623c058fcfeeb1f248d5ff4c46d593bf7","0","","","SF IRS filing address only; actual Bay delivery unknown","Environmental/community name: no verified exposure-reduction dose.","priority-for-identity-and-program-check","Environmental/community name: no verified exposure-reduction dose. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"46","irs:271325600","271325600","FIRST GENERATION ENVIRONMENTAL HEALTH & ECONOMIC DEVELOPMENT","environment","C60","1","28dc102430d28f614a9f73239cb0eebe8ff82f47740749a09e29195d6a951bf8","0","","","SF IRS filing address only; actual Bay delivery unknown","Environmental-health equity: identify actual hazard mitigation.","priority-for-identity-and-program-check","Environmental-health equity: identify actual hazard mitigation. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"47","irs:872187590","872187590","CALIFORNIA ALLIANCE FOR COMMUNITY COMPOSTING","environment","C01","1","3dd5c67e7cd99db010e83215d4ca07bafa276721a0c3d3214db169a557c9f7f9","0","","","SF IRS filing address only; actual Bay delivery unknown","Composting: greenhouse-gas/waste outputs need explicit local health pathway.","priority-for-identity-and-program-check","Composting: greenhouse-gas/waste outputs need explicit local health pathway. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"48","irs:270085492","270085492","YGGDRASIL URBAN WILDLIFE RESCUE","environment","C30","1","49f7a77e9d4b92b6e9d59093f90d9385d1ea920071cda4edef3e43ad2149cf7c","0","","","SF IRS filing address only; actual Bay delivery unknown","Wildlife rescue: exclude from human-health shortlist provisionally, not value judgment.","defer-scope-or-role","Wildlife rescue: exclude from human-health shortlist provisionally, not value judgment. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"49","irs:432050242","432050242","GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE","environment","C27","1","4a047023e159c76513104f6a25d8cc6024cd73e500c5f911488ac9a043cf868d","0","","","SF IRS filing address only; actual Bay delivery unknown","Environmental justice: identify implemented exposure reduction versus advocacy.","priority-for-identity-and-program-check","Environmental justice: identify implemented exposure reduction versus advocacy. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"50","irs:943396188","943396188","AFFORDABLE HOUSING AND HOMEOWNERSHIP","environment","C01","1","4b3b22fe150cd5ff223b71fa9e45b8de9b3d85d42cf1051d7d1d60723cd8e406","0","","","SF IRS filing address only; actual Bay delivery unknown","Housing name conflicts with environmental classification; resolve project ownership.","priority-for-identity-and-program-check","Housing name conflicts with environmental classification; resolve project ownership. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"51","irs:942382967","942382967","COMMUNITY BOARD PROGRAM","civic","I510","2","0b370c614a298f68ec010e572af9fb19f96f18d5ea7606aec2723529b0a920c4","1","1000034338","Community Board Program","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Mediation: plausible stress/conflict mechanism, causal health effect uncertain.","priority-for-identity-and-program-check","Mediation: plausible stress/conflict mechanism, causal health effect uncertain. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"52","irs:834557886","834557886","SOMA WEST COMMUNITY BENEFIT DISTRICT","civic","S20","2","1055dc09a06fbdb2eb9ecec5b59221e6aa2c9974333e9b8e0a79af33e3f6002e","1","1000038035","ADMNB: SOMA Mural Corridor Rev","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","District safety/cleaning: isolate intervention rather than total authority.","priority-for-identity-and-program-check","District safety/cleaning: isolate intervention rather than total authority. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"53","irs:453360280","453360280","OPEN DOOR LEGAL","civic","I80","2","1c9116fca8bd14c81885f919a1dcf7f632f1561026bd35d90401e781d18c6f31","1","1000037714","Open Door - Legal Services","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Civil legal access: distinguish resolution from housing/health outcome.","priority-for-identity-and-program-check","Civil legal access: distinguish resolution from housing/health outcome. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"54","irs:261697250","261697250","COMMUNITY LIVING CAMPAIGN","civic","R25","2","2986f7dbdb413337abc6dafed086c21b96562b5bc4688e5d76bc5d753ba79cf9","6","1000029758|1000033475|1000033476|1000033554|1000035782|1000036260","DAS Community Connector 23-27 | DAS-SF Tech Council 24-27 | DAS-Tech Training 24-27 | CRSF/ReServe FY 24-28 | DAS HDG FY 25-29 | DAS TAP FY 25-29","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Disability/aging community support: specific social connection or access dose needed.","priority-for-identity-and-program-check","Disability/aging community support: specific social connection or access dose needed. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"55","irs:943333879","943333879","BAYANIHAN EQUITY CENTER","civic","W30","2","2991ff7a17e53d7710653883baaf6b280eae6b48192e1c1330395f10ce5e42ff","2","1000029862|1000036895","DAS Community Services FY23-27 | HSA/CFAT Comm Ctrd Groc Distr","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Equity center: language-access and older-adult support hypothesis.","priority-for-identity-and-program-check","Equity center: language-access and older-adult support hypothesis. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"56","irs:942844443","942844443","CENTERS FOR EQUITY AND SUCCESS INC","civic","I40Z","2","5d902624f92b5a8e0e0e993316e9d18e36aa977757bf29b48c4bff385f27e14d","5","1000030521|1000032537|1000035655|1000037922|1000038193","MYR-204090-23 | CHF-GA-Productive Adult-24-29 | ADMOOC-PC Technical Assistance | CHF-JusticeServices-26-29 | ECN 234H Public Safety Academy","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Workforce/community services: health endpoint not employment count.","priority-for-identity-and-program-check","Workforce/community services: health endpoint not employment count. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"57","irs:450493846","450493846","HYDE STREET COMMUNITY SERVICES INC","civic","S21","2","5efe23429f8c127a1366df2ba22519bede41bb0ae48cff9ad97f744d28bf202b","1","1000010833","Unspecified","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Community services may be mental-health care; inspect scope and provider identity.","priority-for-identity-and-program-check","Community services may be mental-health care; inspect scope and provider identity. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"58","irs:510169463","510169463","LEGAL SERVICES FOR CHILDREN INC","civic","I82Z","2","606108d9d4b996b4b8a30d3f0f0778090bf5e995b269ad8370230264ec506949","1","1000033304","CHF-GA-Todos Juntos-24-29","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Child legal/social work: safety and mental-health pathway, no case=QALY shortcut.","priority-program-diligence","Child legal/social work: safety and mental-health pathway, no case=QALY shortcut. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://lsc-sf.org/what-we-do/","2026-09-08","Provider verifies free youth legal representation and social-work support. Actual health effect, case mix and marginal staff capacity unmeasured here.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","6"
"59","irs:454849844","454849844","SAN FRANCISCO MARKET CORPORATION","civic","S023","2","6e969e4c8cad5d17b6eaa091decfde8293d0ec00972efa52ddcdb96e01762b94","2","1000031086|1000038141","ADMRE | Food Recovery Program 26-27","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Market entity: distribution or property operation unclear.","priority-for-identity-and-program-check","Market entity: distribution or property operation unclear. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"60","irs:943357710","943357710","ASIAN PACIFIC AMERICAN COMMUNITY CENTER","civic","S20","2","a369f33d57c3fa607ba474f7469f6c6de983e92d43fa598e9292474c101d3d74","3","1000032501|1000038142|1000038728","CHF-GA-Out of SchoolTime-24-29 | ZW Education 26-27 | HRC-DKI-WE01-26-002AsianAmeric","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Cultural community center: identify health-navigation or family service.","priority-for-identity-and-program-check","Cultural community center: identify health-navigation or family service. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"61","irs:881751310","881751310","CENTER FOR ARTIFICIAL INTELLIGENCE SAFETY INC","research","U05","1","211eee5207b0f0e3e00294a170390dff25dd5fabd8413eca53b3bf77eb6d0a28","0","","","SF IRS filing address only; actual Bay delivery unknown","AI safety research: outside near-term SF direct-service health scope.","defer-scope-or-role","AI safety research: outside near-term SF direct-service health scope. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"62","irs:883467337","883467337","MOBILITYVISION INC","research","U40","1","26bd6318f5e29285808efce532181af71fa776d205b5bb551e05263c942f3364","0","","","SF IRS filing address only; actual Bay delivery unknown","Mobility research/technology: actual local assistive service unknown.","priority-for-identity-and-program-check","Mobility research/technology: actual local assistive service unknown. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"63","irs:851511291","851511291","ENDOVISION FOUNDATION","research","H70","1","53c827cc31d5c6ed499c39b687436a66f8a649bfb6fb3cc67f1025177883f28e","0","","","SF IRS filing address only; actual Bay delivery unknown","Vision research foundation: trial or direct treatment unknown.","priority-for-identity-and-program-check","Vision research foundation: trial or direct treatment unknown. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"64","irs:237025700","237025700","CHILDRENS BRAIN DISEASE FOUNDATION","research","H48Z","1","71966fac29799a1cce4ea24a003e3c0517371ac75a1dc00de33268766e189082","0","","","SF IRS filing address only; actual Bay delivery unknown","Brain disease research: avoid research grants=patient cures.","priority-for-identity-and-program-check","Brain disease research: avoid research grants=patient cures. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"65","irs:943307253","943307253","INSTITUTE FOR JEWISH AND COMMUNITY RESEARCH","research","V33","1","8f625d0112afae197012a62d1e58c41ff36adbde8139695b3718b1cf106f494f","0","","","SF IRS filing address only; actual Bay delivery unknown","Community research: no direct clinical service established.","defer-scope-or-role","Community research: no direct clinical service established. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"66","irs:851462928","851462928","DENTAL ROBIN HOOD","other","T30","2","a123330f39d12193a49ccd1f378739f7ab946ab32949514af5cbb3ce09e8c853","1","1000028641","DPH - Children Oral Health","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Dental charity signal despite other classification: investigate actual completed treatment.","priority-for-identity-and-program-check","Dental charity signal despite other classification: investigate actual completed treatment. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"67","irs:941156270","941156270","COMMUNITY MUSIC CENTER","other","A6E0","2","c80ac5418c39abe8d3494b0acb01d0a7c601bdb196d8628e10265b399f5390eb","1","1000029833","HSA  Neighborhood choir 23-27","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Music education: possible wellbeing, no preference-based health evidence yet.","priority-for-identity-and-program-check","Music education: possible wellbeing, no preference-based health evidence yet. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"68","irs:760778012","760778012","ASOCIACION MAYAB","other","A20","2","de19bf327e3211b3003597798c917f212856ea827b87ee9a283ec0a2f180fe5f","1","1000037374","ADMCE:Community Engage&Support","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Community/cultural association: identify migrant health access versus events.","priority-for-identity-and-program-check","Community/cultural association: identify migrant health access versus events. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"69","irs:352425564","352425564","SAN FRANCISCO COMMUNITY RADIO","other","A34","1","01255bfa341deda8de0415f8062a9ce152ba3a83a6067f11c531bafcbfaf9433","0","","","SF IRS filing address only; actual Bay delivery unknown","Radio: information dissemination not health outcome by default.","defer-scope-or-role","Radio: information dissemination not health outcome by default. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"70","irs:474798696","474798696","GARHWAL FAMILY FOUNDATION","other","T20","1","01a74ac33558dc7d79a23ee0e6105ced4dc2a6d166c5734226da60f23667e934","0","","","SF IRS filing address only; actual Bay delivery unknown","Family foundation: grantmaker role suspected; recipient identification needed.","defer-scope-or-role","Family foundation: grantmaker role suspected; recipient identification needed. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"71","irs:942387002","942387002","WU YEE CHILDRENS SERVICES","unknown","","2","094a654e347dfbd7d2ce7b5f84d48eb0ae325501c09c6f9e70f3cf5b84c1019c","5","1000033034|1000034321|1000036193|1000036775|1000037477","DEC 24-02 FRC Initiative | DEC 24-02 FRC Initiative | DEC Access & Enrollment | DEC FY25 ECE WFC | FRC Cross Sector Grants","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Child-services contract despite missing NTEE: narrow early-childhood health mechanism.","priority-for-identity-and-program-check","Child-services contract despite missing NTEE: narrow early-childhood health mechanism. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"72","irs:942934014","942934014","SAN FRANCISCO CONSERVATION CORPS","unknown","","2","099356c81f2af5b25053c361a2babdec568f714e33dabd587ffe9f5e9cdc1ba8","1","1000035143","REC-As Needed Park Services","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Conservation workforce: distinguish employment/environment outputs from injury/exposure reduction.","priority-for-identity-and-program-check","Conservation workforce: distinguish employment/environment outputs from injury/exposure reduction. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"73","irs:943078431","943078431","PRC","unknown","","2","370f92ab0d855070d5f4a10a0dd54e512695f157b2ce1f7aaf6f34ae82137ebb","6","1000009024|1000030300|1000030739|1000035255|1000037806|1000037997","DPH-Emergency Financial Assist | DPH - HIV Services | DPH - RFGA 8079 - CSU and HD | DPH - Health Care Service | ECN Public Safety Academy | DPH-HIV FRONTLINE ORGANIZING G","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Acronym PRC: identity and possible existing-review alias must be resolved.","priority-for-identity-and-program-check","Acronym PRC: identity and possible existing-review alias must be resolved. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"74","irs:940835150","940835150","SAN FRANCISCO TRAVEL ASSOCIATION","unknown","","2","3838c94043cbab46b01af0a622d5615019d432f01f56c22fc421b499458d62a4","1","1000028136","International Marketing Services","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Travel association: defer tourism promotion from direct-service health shortlist.","defer-scope-or-role","Travel association: defer tourism promotion from direct-service health shortlist. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"75","irs:943117093","943117093","SAN FRANCISCO PUBLIC HEALTH FOUNDATION","unknown","","2","434957764902c2367e06230df6178ea21adb6d1716c6856b7cab0a40aa69788b","6","1000013579|1000021500|1000035999|1000036026|1000036060|1000036557","Unspecified | DPH - Prog Admin Food Security | DPH-Program Admin | DPH CHEP Prog Admin Svcs | DPH-Program Admin SDDT | DPH-BHS&SFHN Program Admin Ser","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Public-health fiscal intermediary: select project; avoid aggregate contracts as CEA.","priority-for-identity-and-program-check","Public-health fiscal intermediary: select project; avoid aggregate contracts as CEA. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"76","irs:942330864","942330864","LA CASA DE LAS MADRES","unknown","","2","9067c3523e521405e541e0011b7f7a506a979f85b3fb28d146a01fecfbd55ac4","3","1000017663|1000028790|1000038687","La Casa - ESG Shelter | La Casa - SS at Verona Hotel | HSA - DV Supp Services","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Domestic-violence shelter/counseling: safety and trauma treatment hypotheses.","priority-program-diligence","Domestic-violence shelter/counseling: safety and trauma treatment hypotheses. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.lacasa.org/what-we-do/","2026-09-08","Provider verifies domestic-violence shelter, crisis and counseling services. Select trauma/safety intervention; cumulative service totals not causal outcomes.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","7"
"77","irs:943164091","943164091","APA FAMILY SUPPORT SERVICES","unknown","Z99Z","2","9e04a41550df5c5b7b126758d1447caab3e1d242bd271a8236ab6c682883f94e","4","1000027852|1000033128|1000036456|1000036959","DPH-ERMHS | DEC 24-02 FRC Initiative | Community Centered Grocery Dis | DAS CalFresh Expansion/Outreac","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","School-linked family behavioral health: specific treated cohort and payer needed.","priority-program-diligence","School-linked family behavioral health: specific treated cohort and payer needed. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.apafss.org/about-us","2026-09-08","Provider verifies SF family support, school-age behavioral health and Medi-Cal pilot. Distinguish home visitation from clinical therapy and current public financing.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","8"
"78","irs:943212988","943212988","FOODWISE COMMUNITY","unknown","","2","9ec28b5dddfd0b87f77144ee352691b592d33b39f812946ac67a7beea5a9b7f5","3","1000036008|1000036055|1000038364","ADMRE –Alemany Market Operator | HRC-JUN-004-Foodwise | HRC-DKI-HW04-26-004 Foodwise C","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Food-system community: nutritional access versus market support distinction.","priority-for-identity-and-program-check","Food-system community: nutritional access versus market support distinction. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"79","irs:680184712","680184712","YOUTH LEADERSHIP INSTITUTE","unknown","","2","b505ec1077c50bcae141594d301dc6c313c5f3d39dab786cbe59f066e66498c3","2","1000028579|1000036261","DPH - SUD Prevention Services | N. Youth Leadership Institute","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Youth leadership: no direct health effect established by contract.","priority-for-identity-and-program-check","Youth leadership: no direct health effect established by contract. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"80","irs:942455072","942455072","SAFE & SOUND","unknown","","2","b8e5af179ab64e694601d855752657d51d64f00dc28b29559af2ac9630f6a829","5","1000006954|1000025709|1000029431|1000029438|1000032713","DPH CYF mental health services | CFC FRC Cross-sector | HSA-FCS-MRT 23-28 | HSA-FCS-CAC 23-28 | DEC FY24-FY27 FRC Initiative","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Child/family trauma services: identify structured therapy or prevention intervention.","priority-program-diligence","Child/family trauma services: identify structured therapy or prevention intervention. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://safeandsound.org/what-we-do/","2026-09-08","Provider verifies counseling, parenting and trauma-prevention services at SF sites. Current page gives bounded TALK Line hours; historical24/7 descriptions not current guarantees.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","9"
"81","irs:680183692","680183692","CALIFORNIA HOUSING PARTNERSHIP","unknown","Z99Z","1","005f7e277048c1b883afc6b68a666c89d2b99bd5fcf3171bd0a8cf0074ef712f","0","","","SF IRS filing address only; actual Bay delivery unknown","Housing policy/finance intermediary: added health pathway indirect.","priority-for-identity-and-program-check","Housing policy/finance intermediary: added health pathway indirect. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"82","irs:942238595","942238595","HEART OF THE CITY COMMUNITY CENTER","unknown","","1","028129c9ccd188767699a68a940a545432e196bc6c36ed741ebdc9372c925173","0","","","SF IRS filing address only; actual Bay delivery unknown","Community center: purpose unresolved beyond name.","priority-for-identity-and-program-check","Community center: purpose unresolved beyond name. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"83","irs:942514195","942514195","KOREAN AMERICAN SENIOR SERVICES INC","unknown","","1","03621f7304d4f9b9078e8c1a5d4c043500a2b8e0f5baa8a9c9246b7db3b7b1d8","0","","","SF IRS filing address only; actual Bay delivery unknown","Korean-language elder services: access/social support hypothesis.","priority-for-identity-and-program-check","Korean-language elder services: access/social support hypothesis. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
